Loading SapBERT model for vector normalization... (this may take a moment)
132 notes with narrative-state-word cold-start entities
raw text loaded for 132/132 notes
Loading GLiNER-BioMed model... (this may take a moment on the first run)
Fetching 12 files:   0%|          | 0/12 [00:00<?, ?it/s]Fetching 12 files: 100%|██████████| 12/12 [00:00<00:00, 2290.20it/s]
[1/132] 10597114-DS-10: re-fixed 6 entities, cleared 3 stale decision(s)
[2/132] 10813665-DS-7: re-fixed 5 entities, cleared 4 stale decision(s)
[3/132] 10839721-DS-9: re-fixed 3 entities, cleared 2 stale decision(s)
[4/132] 10850639-DS-7: re-fixed 1 entities, cleared 1 stale decision(s)
[5/132] 12050253-DS-20: re-fixed 6 entities, cleared 6 stale decision(s)
[6/132] 10912090-DS-33: re-fixed 6 entities, cleared 6 stale decision(s)
[7/132] 11215929-DS-4: re-fixed 3 entities, cleared 2 stale decision(s)
[8/132] 12286594-DS-21: re-fixed 1 entities, cleared 1 stale decision(s)
[9/132] 12831861-DS-10: re-fixed 2 entities, cleared 2 stale decision(s)
[10/132] 12962702-DS-14: re-fixed 2 entities, cleared 2 stale decision(s)
[11/132] 12991484-DS-15: re-fixed 3 entities, cleared 3 stale decision(s)
[12/132] 13024677-DS-11: re-fixed 3 entities, cleared 3 stale decision(s)
[13/132] 13030379-DS-26: re-fixed 1 entities, cleared 1 stale decision(s)
[14/132] 10000032-DS-23: re-fixed 20 entities, cleared 7 stale decision(s)
[15/132] 10000032-DS-24: re-fixed 5 entities, cleared 4 stale decision(s)
[16/132] 11392990-DS-6: re-fixed 20 entities, cleared 2 stale decision(s)
[17/132] 11516225-DS-20: re-fixed 3 entities, cleared 0 stale decision(s)
[18/132] 11576109-DS-15: re-fixed 3 entities, cleared 0 stale decision(s)
[19/132] 11652327-DS-14: re-fixed 2 entities, cleared 0 stale decision(s)
[20/132] 11806511-DS-10: re-fixed 6 entities, cleared 0 stale decision(s)
[21/132] 12298181-DS-9: re-fixed 2 entities, cleared 0 stale decision(s)
[22/132] 12642549-DS-11: re-fixed 4 entities, cleared 0 stale decision(s)
[23/132] 11021124-DS-15: re-fixed 4 entities, cleared 0 stale decision(s)
[24/132] 11299687-DS-9: re-fixed 3 entities, cleared 0 stale decision(s)
[25/132] 11438886-DS-9: re-fixed 4 entities, cleared 0 stale decision(s)
[26/132] 11513575-DS-15: re-fixed 1 entities, cleared 0 stale decision(s)
[27/132] 11799619-DS-27: re-fixed 4 entities, cleared 0 stale decision(s)
[28/132] 12484093-DS-33: re-fixed 1 entities, cleared 0 stale decision(s)
[29/132] 12549331-DS-3: re-fixed 6 entities, cleared 0 stale decision(s)
[30/132] 11649745-DS-4: re-fixed 8 entities, cleared 0 stale decision(s)
[31/132] 12969257-DS-11: re-fixed 1 entities, cleared 0 stale decision(s)
[32/132] 12970259-DS-4: re-fixed 3 entities, cleared 0 stale decision(s)
[33/132] 10000032-DS-22: re-fixed 7 entities, cleared 0 stale decision(s)
[34/132] 10938537-DS-20: re-fixed 3 entities, cleared 0 stale decision(s)
[35/132] 11051092-DS-3: re-fixed 3 entities, cleared 0 stale decision(s)
[36/132] 11524757-DS-4: re-fixed 4 entities, cleared 0 stale decision(s)
[37/132] 12093726-DS-4: re-fixed 3 entities, cleared 0 stale decision(s)
[38/132] 12204513-DS-26: re-fixed 1 entities, cleared 0 stale decision(s)
[39/132] 12412316-DS-14: re-fixed 3 entities, cleared 0 stale decision(s)
[40/132] 12582583-DS-20: re-fixed 4 entities, cleared 0 stale decision(s)
[41/132] 12128814-DS-15: re-fixed 2 entities, cleared 0 stale decision(s)
[42/132] 10417827-DS-10: re-fixed 4 entities, cleared 0 stale decision(s)
[43/132] 10848570-DS-12: re-fixed 4 entities, cleared 0 stale decision(s)
[44/132] 10960609-DS-16: re-fixed 1 entities, cleared 0 stale decision(s)
[45/132] 11026054-DS-14: re-fixed 4 entities, cleared 0 stale decision(s)
[46/132] 11062354-DS-8: re-fixed 2 entities, cleared 0 stale decision(s)
[47/132] 11522433-DS-6: re-fixed 3 entities, cleared 0 stale decision(s)
[48/132] 11654232-DS-17: re-fixed 2 entities, cleared 0 stale decision(s)
[49/132] 11838076-DS-20: re-fixed 6 entities, cleared 0 stale decision(s)
[50/132] 12135369-DS-23: re-fixed 7 entities, cleared 0 stale decision(s)
[51/132] 12612379-DS-23: re-fixed 6 entities, cleared 0 stale decision(s)
[52/132] 11532659-DS-11: re-fixed 10 entities, cleared 0 stale decision(s)
[53/132] 12247014-DS-9: re-fixed 1 entities, cleared 0 stale decision(s)
[54/132] 10097089-DS-8: re-fixed 4 entities, cleared 0 stale decision(s)
[55/132] 10355641-DS-7: re-fixed 3 entities, cleared 0 stale decision(s)
[56/132] 11198666-DS-27: re-fixed 3 entities, cleared 0 stale decision(s)
[57/132] 11903286-DS-2: re-fixed 2 entities, cleared 0 stale decision(s)
[58/132] 12276520-DS-22: re-fixed 4 entities, cleared 0 stale decision(s)
[59/132] 10000032-DS-21: re-fixed 4 entities, cleared 0 stale decision(s)
[60/132] 10993096-DS-12: re-fixed 6 entities, cleared 0 stale decision(s)
[61/132] 11684467-DS-26: re-fixed 2 entities, cleared 0 stale decision(s)
[62/132] 12018901-DS-68: re-fixed 8 entities, cleared 0 stale decision(s)
[63/132] 12101085-DS-27: re-fixed 11 entities, cleared 0 stale decision(s)
[64/132] 12298967-DS-22: re-fixed 7 entities, cleared 0 stale decision(s)
[65/132] 12515572-DS-13: re-fixed 4 entities, cleared 0 stale decision(s)
[66/132] 12626414-DS-32: re-fixed 6 entities, cleared 0 stale decision(s)
[67/132] 10060142-DS-9: re-fixed 5 entities, cleared 0 stale decision(s)
[68/132] 11134545-DS-21: re-fixed 8 entities, cleared 0 stale decision(s)
[69/132] 11161110-DS-13: re-fixed 4 entities, cleared 0 stale decision(s)
[70/132] 11180362-DS-10: re-fixed 4 entities, cleared 0 stale decision(s)
[71/132] 11810606-DS-7: re-fixed 6 entities, cleared 0 stale decision(s)
